codusu,ano4,trimestre,region,aglomerado,fecha_nacimiento,edad,asistencia_educacion,nivel_ed,tipo_establecimiento,codigo_actividad,sexo,categoria_ocupacion,cat_cantidad_empleos,alfabetismo,educacion,experiencia_potencial,salario_horario
TQRMNOPTQHKMKQCDEGPDJ00789889,2022,3,Noroeste,19,19/12/1963,58,asistio,"Primaria
Completa",Privada,1009,Mujer,Cuenta propia,unico,Sabe leer y escribir,8,45,375
TQRMNOQQVHLMMPCDEGJBF00707401,2022,3,Pampeana,13,05/06/1962,60,asistio,"Superior
Universitaria
Incompleta",Privada,4000,Varon,Cuenta propia,unico,Sabe leer y escribir,15,40,416.666666666667
TQRMNORUXHLOSTCDEIJAH00791633,2022,3,Gran Buenos Aires,33,08/09/1968,53,asistio,"Primaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,6,42,111.111111111111
TQRMNORXPHJNKNCDEIMBF00786804,2022,3,Pampeana,36,17/08/1990,32,asistio,"Superior
Universitaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,11,275
TQRMNOSVTHKMKPCDEGKDB00789159,2022,3,Pampeana,14,30/11/1980,41,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,16,20,1000
TQRMNOQQRHJMTRCDEIJAH00785759,2022,3,Gran Buenos Aires,33,26/07/1950,72,asistio,"Secundaria
Completa",Privada,9999,Varon,Cuenta propia,unico,Sabe leer y escribir,13,54,750
TQRMNORPTHLMMLCDEIJAH00711346,2022,3,Gran Buenos Aires,33,01/01/1900,26,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,5,625
TQRMNOUSTHJOKOCDEFPCH00782823,2022,3,Patagonia,9,30/09/1978,43,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,23,15,1000
TQRMNOPWRHKOLQCDEIMBF00792661,2022,3,Pampeana,36,22/08/1999,23,asistio,"Secundaria
Completa",Privada,4807,Mujer,Cuenta propia,unico,Sabe leer y escribir,13,5,222.222222222222
TQRMNOSRRHJMLMCDEGPDJ00784045,2022,3,Noroeste,19,18/11/1962,59,asistio,"Primaria
Completa",Privada,4806,Varon,Obrero o empleado,unico,Sabe leer y escribir,8,46,535.714285714286
TQRMNOPPWHKMLPCDEFKID00787546,2022,3,Pampeana,4,01/01/1900,47,asistio,"Superior
Universitaria
Completa",Estatal,8501,Varon,Obrero o empleado,unico,Sabe leer y escribir,16,26,1250
TQRMNOSVVHJLKTCDEGNFJ00783783,2022,3,Patagonia,17,03/06/1975,47,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,29,812.5
TQRMNOPVXHJMKUCDEHLEH00784533,2022,3,Noroeste,25,01/01/1900,41,asistio,"Secundaria
Incompleta",Privada,4903,Varon,Obrero o empleado,unico,Sabe leer y escribir,10,26,208.333333333333
TQRMNOSVXHKMKPCDEGKDB00789163,2022,3,Pampeana,14,30/06/1989,33,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,15,312.5
TQRMNOPUWHMKLMCDEIIAD00791355,2022,3,Gran Buenos Aires,32,22/05/1975,47,asistio,"Superior
Universitaria
Completa",Privada,5000,Varon,Obrero o empleado,unico,Sabe leer y escribir,16,26,901.639344262295
TQRMNOQQWHJOMLCDEGGFB00783001,2022,3,Cuyo,10,01/01/1900,49,asistio,"Superior
Universitaria
Completa",Privada,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,28,650
TQRMNORYVHLOKOCDEFNFF00705848,2022,3,Noreste,7,23/02/1961,61,asiste actualmente,"Secundaria
Incompleta",Privada,9602,Mujer,Cuenta propia,unico,Sabe leer y escribir,9,47,104.166666666667
TQRMNOTRRHJOKPCDEFJAH00781958,2022,3,Pampeana,3,01/10/1975,46,asistio,"Primaria
Completa",Privada,102,Mujer,Cuenta propia,unico,Sabe leer y escribir,8,33,125
TQRMNOVPVHKNLQCDEHIBB00790089,2022,3,Noroeste,22,01/01/1900,39,asistio,"Secundaria
Incompleta",Estatal,8501,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,10,24,250
TQRMNOQSVHKOKRCDEIHJF00791168,2022,3,Patagonia,31,16/07/1979,43,asistio,"Secundaria
Completa",Privada,9602,Mujer,Cuenta propia,unico,Sabe leer y escribir,13,25,208.333333333333
TQRMNOQXVHKLLQCDEGOIH00789758,2022,3,Noroeste,18,15/03/1977,45,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,27,333.333333333333
TQRMNOQSRHMKLSCDEIIAD00710468,2022,3,Gran Buenos Aires,32,13/01/1965,57,asistio,"Secundaria
Completa",Privada,9301,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,13,39,643.939393939394
TQRMNOTXQHLKLLCDEIMBF00704715,2022,3,Pampeana,36,14/09/1992,29,asistio,"Superior
Universitaria
Completa",Privada,8600,Mujer,Cuenta propia,unico,Sabe leer y escribir,19,5,333.333333333333
TQRMNOQSPHMMOOCDEIIAD00718649,2022,3,Gran Buenos Aires,32,20/02/1994,28,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,11,12,437.5
TQRMNORRQHKNLMCDEHJGH00790294,2022,3,Noroeste,23,22/04/1991,31,asistio,"Primaria
Completa",Privada,4807,Mujer,Obrero o empleado,unico,Sabe leer y escribir,8,18,468.75
TQRMNOPPTHMMLPCDEFPCH00712975,2022,3,Patagonia,9,26/11/1981,40,asistio,"Secundaria
Incompleta",Privada,900,Varon,Obrero o empleado,unico,Sabe leer y escribir,11,24,1197.91666666667
TQRMNOPRVHMLLNCDEGPDJ00716837,2022,3,Noroeste,19,17/06/1954,68,asistio,"Superior
Universitaria
Completa",Privada,6100,Varon,Obrero o empleado,unico,Sabe leer y escribir,19,44,1325
TQRMNORWPHMLMMCDEGGFB00710432,2022,3,Cuyo,10,01/01/1900,26,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,6400,Mujer,Obrero o empleado,unico,Sabe leer y escribir,15,6,650
TQRMNOSXSHLLKMCDEFJAH00712799,2022,3,Pampeana,3,16/02/1966,56,asistio,"Superior
Universitaria
Completa",Privada,8600,Mujer,Cuenta propia,unico,Sabe leer y escribir,19,32,1250
TQRMNOPTUHKLKUCDEHMHF00790540,2022,3,Cuyo,26,01/01/1959,63,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Patron,unico,Sabe leer y escribir,11,47,500
TQRMNOSVPHMOKQCDEIJAH00709796,2022,3,Gran Buenos Aires,33,28/02/1961,61,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,43,500
TQRMNOQYVHLMKOCDEFIAH00706225,2022,3,Pampeana,2,06/11/1971,50,asistio,"Secundaria
Completa",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,32,468.75
TQRMNOQUWHJMKNCDEFLID00782377,2022,3,Pampeana,5,30/12/1990,31,asistio,"Secundaria
Completa",Privada,4808,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,13,390.625
TQRMNOQVPHKKKMCDEOJAH00793032,2022,3,Patagonia,93,04/06/1987,35,asistio,"Superior
Universitaria
Completa",Privada,7301,Mujer,Cuenta propia,unico,Sabe leer y escribir,19,11,390.625
TQRMNOPYXHJOKMCDEGNFJ00783828,2022,3,Patagonia,17,01/11/1984,37,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,16,937.5
TQRMNOQQVHKNKMCDEHNHB00790672,2022,3,Cuyo,27,05/06/1995,27,asistio,"Secundaria
Completa",Privada,1009,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,9,312.5
TQRMNORTXHJMKQCDEGGFB00782944,2022,3,Cuyo,10,05/04/1956,66,asistio,"Secundaria
Incompleta",Privada,6900,Mujer,Obrero o empleado,unico,Sabe leer y escribir,10,51,437.5
TQRMNPVRRHJOKSCDEHLEH00784592,2022,3,Noroeste,25,01/01/1900,34,asistio,"Superior
Universitaria
Incompleta",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,14,15,437.5
TQRMNOTQRHKLLLCDEFKID00787666,2022,3,Pampeana,4,01/01/1900,36,asistio,"Superior
Universitaria
Completa",Privada,6200,Varon,Obrero o empleado,unico,Sabe leer y escribir,19,12,1111.11111111111
TQRMNOTTXHKOKNCDEHLEH00790428,2022,3,Noroeste,25,01/01/1900,24,asistio,"Primaria
Completa",Privada,4803,Varon,Obrero o empleado,unico,Sabe leer y escribir,8,11,250
TQRMNOSTUHKMKOCDEHNHB00790640,2022,3,Cuyo,27,06/02/1971,51,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,30,1325
TQRMNOTXYHKOLOCDEFOCD00788370,2022,3,Noreste,8,27/11/1985,36,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,18,208.333333333333
TQRMNOSTQHMLKSCDEFNFF00714346,2022,3,Noreste,7,27/12/1982,39,asistio,"Secundaria
Completa",Privada,9602,Mujer,Cuenta propia,unico,Sabe leer y escribir,13,21,260.416666666667
TQRMNOPYRHMOKRCDEHNHB00712336,2022,3,Cuyo,27,23/09/1961,60,asistio,"Secundaria
Completa",Estatal,8401,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,42,483.333333333333
TQRMNOSRUHMMLQCDEHMHF00710471,2022,3,Cuyo,26,14/11/1962,59,asistio,"Primaria
Incompleta",Privada,2500,Varon,Cuenta propia,unico,Sabe leer y escribir,4,50,208.333333333333
TQRMNOPRXHMOKMCDEFOCD00710745,2022,3,Noreste,8,16/05/1978,44,asistio,"Superior
Universitaria
Completa",Estatal,9100,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,23,325
TQRMNOTUXHJMLNCDEGJBF00783438,2022,3,Pampeana,13,24/06/1992,30,asistio,"Superior
Universitaria
Completa",Privada,8000,Mujer,Obrero o empleado,unico,Sabe leer y escribir,19,6,510.204081632653
TQRMNOPWXHJMLOCDEHIBB00784205,2022,3,Noroeste,22,16/06/1985,37,asistio,"Superior
Universitaria
Completa",Estatal,8501,Mujer,Obrero o empleado,unico,Sabe leer y escribir,16,16,500
TQRMNORYTHMNLMCDEHGHJ00712624,2022,3,Patagonia,20,20/02/1990,32,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,8600,Mujer,Cuenta propia,unico,Sabe leer y escribir,17,10,400
TQRMNOQRUHMNLLCDEHIBB00708776,2022,3,Noroeste,22,14/02/1995,27,asistio,"Secundaria
Completa",Privada,6000,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,9,555.555555555556
TQRMNOPXPHKMKUCDEHGHJ00789945,2022,3,Patagonia,20,01/01/1900,41,asistio,"Superior
Universitaria
Completa",Privada,8600,Varon,Patron,unico,Sabe leer y escribir,19,17,1250
TQRMNORURHKOKNCDEHNHB00790685,2022,3,Cuyo,27,05/01/1999,23,asistio,"Secundaria
Incompleta",Privada,4903,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,5,750
TQRMNOPRSHKNLQCDEGPDJ00789833,2022,3,Noroeste,19,05/10/1994,27,asistio,"Superior
Universitaria
Completa",Estatal,8501,Varon,Obrero o empleado,multiples,Sabe leer y escribir,16,6,292.682926829268
TQRMNOSQPHKOLMCDEGGFB00788684,2022,3,Cuyo,10,01/01/1900,31,asistio,"Secundaria
Completa",Privada,8101,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,13,347.222222222222
TQRMNORWXHJNLOCDEGLDF00789425,2022,3,Noreste,15,23/06/1999,23,asistio,"Secundaria
Incompleta",Privada,4000,Varon,Obrero o empleado,unico,Sabe leer y escribir,9,9,250
TQRMNORXWHKNLTCDEFKID00787702,2022,3,Pampeana,4,01/01/1900,50,asistio,"Secundaria
Completa",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,32,400
TQRMNOSXQHKMKPCDEHGHJ00789981,2022,3,Patagonia,20,15/08/2000,22,asiste actualmente,"Superior
Universitaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,unico,Sabe leer y escribir,15,2,216.666666666667
TQRMNOPRPHJOLPCDEHLEH00784587,2022,3,Noroeste,25,01/01/1900,25,asistio,"Superior
Universitaria
Completa",Estatal,8600,Mujer,Obrero o empleado,unico,Sabe leer y escribir,19,1,375
TQRMNOUWWHJLKNCDEHIBB00784225,2022,3,Noroeste,22,12/08/1969,52,asistio,"Secundaria
Completa",Estatal,8401,Mujer,Obrero o empleado,unico,Sabe leer y escribir,13,34,375
TQRMNOVWUHJOKMCDEHPJB00784895,2022,3,Noroeste,29,16/11/1977,44,asistio,"Secundaria
Incompleta",Privada,9700,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,10,29,196.153846153846
TQRMNOSWYHKOKSCDEHNHB00790624,2022,3,Cuyo,27,03/10/1960,61,asistio,"Secundaria
Completa",Privada,3501,Varon,Obrero o empleado,unico,Sabe leer y escribir,13,43,666.666666666667
TQRMNOQQQHJMTRCDEIJAH00785961,2022,3,Gran Buenos Aires,33,09/01/1952,70,asistio,"Primaria
Completa",Privada,49,Varon,Cuenta propia,unico,Sabe leer y escribir,8,57,250
TQRMNORTSHLMOOCDEIJAH00786585,2022,3,Gran Buenos Aires,33,09/09/1985,36,asistio,"Superior
Universitaria
Incompleta",Estatal,8800,Mujer,Obrero o empleado,multiples,Sabe leer y escribir,15,16,555.555555555556
